anime_series_animedb_id,anime_series_title,anime_series_type,anime_series_episodes,anime_watched_episodes,anime_my_status
38101,5-toubun no Hanayome,TV,12,12,Completed
39783,5-toubun no Hanayome ∬,TV,12,12,Completed
48548,5-toubun no Hanayome Movie,Movie,1,1,Plan to Watch
39790,Adachi to Shimamura,TV,12,12,Completed
22199,Akame ga Kill!,TV,24,24,Completed
48553,Akebi-chan no Sailor-fuku,TV,12,12,Plan to Watch
6547,Angel Beats!,TV,13,13,Completed
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,11,Completed
11111,Another,TV,12,12,Completed
24833,Ansatsu Kyoushitsu,TV,22,22,Completed
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,25,Completed
9919,Ao no Exorcist,TV,25,25,Completed
11737,Ao no Exorcist Movie,Movie,1,1,Completed
11266,Ao no Exorcist: Kuro no Iede,Special,1,1,Completed
33506,Ao no Exorcist: Kyoto Fujouou-hen,TV,12,12,Completed
10647,Ao no Exorcist: Ura Ex,Special,10,10,Completed
530,Bishoujo Senshi Sailor Moon,TV,46,46,Completed
740,Bishoujo Senshi Sailor Moon R,TV,43,43,Completed
531,Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,1,Completed
34618,Blend S,TV,12,12,Completed
31043,Boku dake ga Inai Machi,TV,12,12,Completed
40904,Bokutachi no Remake,TV,12,12,Completed
44511,Chainsaw Man,TV,0,0,Plan to Watch
14741,Chuunibyou demo Koi ga Shitai!,TV,12,12,Plan to Watch
34382,Citrus,TV,12,12,Completed
1,Cowboy Bebop,TV,26,26,Plan to Watch
35849,Darling in the FranXX,TV,24,24,Completed
1535,Death Note,TV,37,37,Completed
28223,Death Parade,TV,12,12,Completed
37982,Domestic na Kanojo,TV,12,12,Completed
37520,Dororo,TV,24,24,Completed
38691,Dr. Stone,TV,24,24,Completed
40852,Dr. Stone: Stone Wars,TV,11,11,Completed
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,13,Completed
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12,12,Completed
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12,12,Completed
47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,TV,0,0,Plan to Watch
790,Ergo Proxy,TV,23,23,Completed
32901,Eromanga-sensei,TV,12,12,Completed
2759,Evangelion: 1.0 You Are (Not) Alone,Movie,1,1,Completed
3784,Evangelion: 2.0 You Can (Not) Advance,Movie,1,1,Completed
3785,Evangelion: 3.0 You Can (Not) Redo,Movie,1,1,Completed
3786,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,1,Completed
5114,Fullmetal Alchemist: Brotherhood,TV,64,64,Completed
6421,Fullmetal Alchemist: Brotherhood Specials,Special,4,4,Completed
33731,Gabriel DropOut,TV,12,12,Completed
918,Gintama,TV,201,201,Plan to Watch
14811,GJ-bu,TV,12,12,Completed
17895,Golden Time,TV,24,24,Completed
11617,High School DxD,TV,12,12,Completed
24703,High School DxD BorN,TV,12,12,Completed
31326,High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,Special,6,6,Completed
32215,High School DxD BorN: Yomigaeranai Fushichou,OVA,1,1,Completed
34281,High School DxD Hero,TV,12,12,Completed
37719,High School DxD Hero: Taiikukan-ura no Holy,Special,1,1,Completed
15451,High School DxD New,TV,12,12,Completed
12729,High School DxD OVA,OVA,2,2,Completed
13357,High School DxD Specials,Special,6,6,Completed
42897,Horimiya,TV,13,13,Completed
12189,Hyouka,TV,22,22,Completed
48753,Jahy-sama wa Kujikenai!,TV,20,20,Completed
14719,JoJo no Kimyou na Bouken (TV),TV,26,26,Completed
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24,24,Completed
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,24,Completed
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,39,Completed
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,39,Completed
48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,0,0,Plan to Watch
40787,Josee to Tora to Sakana-tachi,Movie,1,1,Plan to Watch
