title,type,dates
Berserk,Manga (? vols),Aug 1989 -
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Manga (24 vols),Jan 2004 - Apr 2011
Fullmetal Alchemist,Manga (27 vols),Jul 2001 - Sep 2010
Monster,Manga (18 vols),Dec 1994 - Dec 2001
One Piece,Manga (? vols),Jul 1997 -
Vagabond,Manga (37 vols),Mar 1999 - May 2015
Oyasumi Punpun,Manga (13 vols),Mar 2007 - Nov 2013
Kingdom,Manga (? vols),Jan 2006 -
Grand Blue,Manga (? vols),Apr 2014 -
Slam Dunk,Manga (31 vols),Sep 1990 - Jun 1996
20th Century Boys,Manga (22 vols),Sep 1999 - Apr 2006
Solo Leveling,Manhwa (? vols),Mar 2018 -
Monogatari Series: First Season,Novel (6 vols),Nov 2006 - Jul 2010
Made in Abyss,Manga (? vols),Oct 2012 -
Yahari Ore no Seishun Love Comedy wa Machigatteiru,Novel (? vols),Mar 2011 -
GTO,Manga (25 vols),Dec 1996 - Jan 2002
Ookami to Koushinryou,Novel (? vols),Feb 2006 -
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Manga (? vols),May 2015 -
Yotsuba to!,Manga (? vols),Mar 2003 -
Vinland Saga,Manga (? vols),Apr 2005 -
Kaze no Tani no Nausicaä,Manga (7 vols),Oct 1982 - Feb 1994
Monogatari Series: Second Season,Novel (6 vols),Oct 2010 - Dec 2011
Ashita no Joe,Manga (20 vols),Jan 1968 - May 1973
Akatsuki no Yona,Manga (? vols),Aug 2009 -
Koe no Katachi,Manga (7 vols),Aug 2013 - Nov 2014
Utsuro no Hako to Zero no Maria,Novel (7 vols),Jan 2009 - Jun 2015
Uchuu Kyoudai,Manga (? vols),Dec 2007 -
Haikyuu!!,Manga (? vols),Feb 2012 -
3-gatsu no Lion,Manga (? vols),Jul 2007 -
Tower of God,Manhwa (? vols),Jul 2010 -
Monogatari Series: Final Season,Novel (6 vols),Sep 2012 - Sep 2014
One Punch-Man,Manga (? vols),Jun 2012 -
Mushishi,Manga (10 vols),Nov 1999 - Aug 2008
Houseki no Kuni,Manga (? vols),Oct 2012 -
Natsume Yuujinchou,Manga (? vols),Jun 2003 -
Overlord,Novel (? vols),Jul 2012 -
